Date,Open,High,Low,Close,Adj Close,Volume
2015-09-21,544.330017,549.780029,539.590027,548.3900150000001,548.3900150000001,3283300
2015-09-22,539.710022,543.549988,532.659973,538.400024,538.400024,3841700
2015-09-23,538.299988,541.210022,534.0,536.070007,536.070007,2237600
2015-09-24,530.549988,534.5599980000001,522.869995,533.75,533.75,3501000
2015-09-25,542.570007,542.799988,521.400024,524.25,524.25,4031000
2015-09-28,520.02002,520.280029,494.329987,504.05999800000006,504.05999800000006,5434500
2015-09-29,506.0,511.48001100000005,490.5,496.07000700000003,496.07000700000003,4457500
2015-09-30,505.44000199999994,512.799988,501.670013,511.89001500000006,511.89001500000006,3990400
2015-10-01,511.0,520.799988,506.0,520.719971,520.719971,3768500
2015-10-02,512.98999,532.599976,508.10000599999995,532.539978,532.539978,4597800
2015-10-05,536.98999,545.909973,536.0,543.679993,543.679993,3391400
2015-10-06,545.5,551.5,533.330017,537.47998,537.47998,4502800
2015-10-07,541.789978,542.0,529.0,541.9400019999999,541.9400019999999,3812100
2015-10-08,536.710022,539.3900150000001,519.8900150000001,533.159973,533.159973,4676400
2015-10-09,534.47998,541.789978,530.27002,539.799988,539.799988,3537400
2015-10-12,539.960022,550.820007,539.799988,550.1900019999999,550.1900019999999,2776100
2015-10-13,546.26001,553.200012,543.099976,548.900024,548.900024,2938000
2015-10-14,551.340027,552.25,539.679993,544.830017,544.830017,3582100
2015-10-15,547.75,563.0,547.0,562.4400019999999,562.4400019999999,4937000
2015-10-16,565.27002,570.9400019999999,560.3099980000001,570.76001,570.76001,4315800
2015-10-19,570.76001,579.0,567.380005,573.150024,573.150024,4375400
2015-10-20,572.0,573.0,555.280029,560.880005,560.880005,4327900
2015-10-21,563.869995,565.25,552.52002,555.77002,555.77002,3343600
2015-10-22,562.700012,569.150024,556.669983,563.909973,563.909973,7779400
2015-10-23,617.679993,619.450012,595.3599849999999,599.030029,599.030029,10692700
2015-10-26,602.299988,609.849976,596.289978,608.6099849999999,608.6099849999999,4269700
2015-10-27,608.599976,614.710022,605.530029,611.01001,611.01001,3787100
2015-10-28,612.299988,617.22998,609.5,617.099976,617.099976,3926200
2015-10-29,617.700012,627.539978,615.3900150000001,626.549988,626.549988,3858600
2015-10-30,626.01001,630.719971,625.280029,625.900024,625.900024,3874400
2015-11-02,627.130005,628.630005,620.409973,628.349976,628.349976,2816500
2015-11-03,629.530029,629.8900150000001,622.0,625.3099980000001,625.3099980000001,3246900
2015-11-04,627.76001,645.929993,627.349976,640.950012,640.950012,4831800
2015-11-05,647.099976,657.0,643.090027,655.650024,655.650024,4723800
2015-11-06,655.0,662.26001,652.0,659.369995,659.369995,4092200
2015-11-09,658.650024,661.960022,647.849976,655.48999,655.48999,4048800
2015-11-10,651.01001,660.0,647.26001,659.679993,659.679993,3489500
2015-11-11,663.25,675.960022,663.25,673.25,673.25,5387300
2015-11-12,673.0,675.6400150000001,664.219971,665.599976,665.599976,4284700
2015-11-13,663.570007,667.0,640.450012,642.349976,642.349976,6261100
2015-11-16,640.919983,649.98999,622.289978,647.8099980000001,647.8099980000001,7435900
2015-11-17,650.650024,653.25,641.0,643.299988,643.299988,4320200
2015-11-18,646.51001,664.880005,646.369995,663.539978,663.539978,4469800
2015-11-19,664.98999,672.8599849999999,659.0,661.27002,661.27002,4705200
2015-11-20,667.9400019999999,668.869995,657.570007,668.450012,668.450012,3896100
2015-11-23,671.5,682.77002,670.119995,678.98999,678.98999,4385100
2015-11-24,674.1400150000001,675.799988,661.210022,671.150024,671.150024,4543400
2015-11-25,675.0,679.700012,671.23999,675.340027,675.340027,2697900
