,Price,Seqno,Symbol,time
0,1623.0,0.0,APPL,1473411962
1,1623.0,0.0,APPL,1473411962
2,1623.0,0.0,APPL,1473411963
3,1623.0,0.0,APPL,1473411963
4,1649.0,1.0,APPL,1473411963
5,1649.0,1.0,APPL,1473411963
6,1649.0,1.0,APPL,1473411964
7,1649.0,1.0,APPL,1473411964
8,1642.0,2.0,APPL,1473411964
9,1642.0,2.0,APPL,1473411964
10,1642.0,2.0,APPL,1473411965
11,1642.0,2.0,APPL,1473411965
12,1636.0,3.0,APPL,1473411965
13,1636.0,3.0,APPL,1473411965
14,1636.0,3.0,APPL,1473411966
15,1636.0,3.0,APPL,1473411966
16,1669.0,4.0,APPL,1473411966
17,1669.0,4.0,APPL,1473411966
18,1669.0,4.0,APPL,1473411967
19,1669.0,4.0,APPL,1473411967
20,1639.0,5.0,APPL,1473411967
21,1639.0,5.0,APPL,1473411967
22,1639.0,5.0,APPL,1473411968
23,1639.0,5.0,APPL,1473411968
24,1611.0,6.0,APPL,1473411968
25,1611.0,6.0,APPL,1473411968
26,1611.0,6.0,APPL,1473411969
27,1611.0,6.0,APPL,1473411969
28,1660.0,7.0,APPL,1473411969
29,1660.0,7.0,APPL,1473411969
30,1660.0,7.0,APPL,1473411969
31,1660.0,7.0,APPL,1473411970
32,1657.0,8.0,APPL,1473411970
33,1657.0,8.0,APPL,1473411970
34,1657.0,8.0,APPL,1473411971
35,1657.0,8.0,APPL,1473411971
36,1509.0,9.0,APPL,1473411971
37,1509.0,9.0,APPL,1473411971
38,1509.0,9.0,APPL,1473411972
39,1509.0,9.0,APPL,1473411972
40,1514.0,10.0,APPL,1473411972
41,1514.0,10.0,APPL,1473411972
42,1514.0,10.0,APPL,1473411972
43,1514.0,10.0,APPL,1473411973
44,1676.0,11.0,APPL,1473411973
45,1676.0,11.0,APPL,1473411973
46,1676.0,11.0,APPL,1473411974
47,1676.0,11.0,APPL,1473411974
48,1596.0,12.0,APPL,1473411974
49,1596.0,12.0,APPL,1473411974
50,1596.0,12.0,APPL,1473411974
51,1596.0,12.0,APPL,1473411975
52,1527.0,13.0,APPL,1473411975
53,1527.0,13.0,APPL,1473411975
54,1527.0,13.0,APPL,1473411975
55,1527.0,13.0,APPL,1473411975
56,1643.0,14.0,APPL,1473411976
57,1643.0,14.0,APPL,1473411976
58,1643.0,14.0,APPL,1473411976
59,1643.0,14.0,APPL,1473411976
60,1632.0,15.0,APPL,1473411977
61,1632.0,15.0,APPL,1473411977
62,1632.0,15.0,APPL,1473411977
63,1632.0,15.0,APPL,1473411977
64,1595.0,16.0,APPL,1473411978
65,1595.0,16.0,APPL,1473411978
66,1595.0,16.0,APPL,1473411978
67,1595.0,16.0,APPL,1473411979
68,1565.0,17.0,APPL,1473411979
69,1565.0,17.0,APPL,1473411979
70,1565.0,17.0,APPL,1473411979
71,1565.0,17.0,APPL,1473411979
72,1521.0,18.0,APPL,1473411980
73,1521.0,18.0,APPL,1473411980
74,1521.0,18.0,APPL,1473411980
75,1521.0,18.0,APPL,1473411980
76,1501.0,19.0,APPL,1473411981
77,1501.0,19.0,APPL,1473411981
78,1501.0,19.0,APPL,1473411982
79,1501.0,19.0,APPL,1473411982
80,1579.0,20.0,APPL,1473411982
81,1579.0,20.0,APPL,1473411982
82,1579.0,20.0,APPL,1473411982
83,1579.0,20.0,APPL,1473411983
84,1511.0,21.0,APPL,1473411983
85,1511.0,21.0,APPL,1473411983
86,1511.0,21.0,APPL,1473411983
87,1511.0,21.0,APPL,1473411983
88,1513.0,22.0,APPL,1473411984
89,1513.0,22.0,APPL,1473411984
90,1513.0,22.0,APPL,1473411984
91,1513.0,22.0,APPL,1473411985
92,1687.0,23.0,APPL,1473411985
93,1687.0,23.0,APPL,1473411985
94,1687.0,23.0,APPL,1473411985
95,1687.0,23.0,APPL,1473411986
96,1539.0,24.0,APPL,1473411986
97,1539.0,24.0,APPL,1473411986
98,1539.0,24.0,APPL,1473411987
99,1539.0,24.0,APPL,1473411987
100,1682.0,25.0,APPL,1473411987
101,1682.0,25.0,APPL,1473411987
102,1682.0,25.0,APPL,1473411988
103,1682.0,25.0,APPL,1473411988
104,1534.0,26.0,APPL,1473411988
105,1534.0,26.0,APPL,1473411988
106,1534.0,26.0,APPL,1473411988
107,1534.0,26.0,APPL,1473411989
108,1628.0,27.0,APPL,1473411989
109,1628.0,27.0,APPL,1473411989
110,1628.0,27.0,APPL,1473411990
111,1628.0,27.0,APPL,1473411990
112,1582.0,28.0,APPL,1473411990
113,1582.0,28.0,APPL,1473411990
114,1582.0,28.0,APPL,1473411990
115,1582.0,28.0,APPL,1473411991
116,1540.0,29.0,APPL,1473411991
117,1540.0,29.0,APPL,1473411991
118,1540.0,29.0,APPL,1473411991
119,1540.0,29.0,APPL,1473411991
120,1631.0,30.0,APPL,1473411992
121,1631.0,30.0,APPL,1473411992
122,1631.0,30.0,APPL,1473411992
123,1631.0,30.0,APPL,1473411992
124,1541.0,31.0,APPL,1473411993
125,1541.0,31.0,APPL,1473411993
126,1541.0,31.0,APPL,1473411993
127,1541.0,31.0,APPL,1473411994
