Date,Open,High,Low,Close,Adj Close,Volume
2015-09-21,65.379997,66.400002,62.959998999999996,63.900002,63.900002,22355100
2015-09-22,62.939999,63.27,61.580002,61.900002,61.900002,14897900
2015-09-23,61.959998999999996,62.299999,59.68,60.0,60.0,22684600
2015-09-24,59.419998,60.34,58.209998999999996,59.919998,59.919998,20645700
2015-09-25,60.630001,60.84,58.919998,59.240002000000004,59.240002000000004,17009100
2015-09-28,58.810001,60.119999,57.314999,57.389998999999996,57.389998999999996,20661600
2015-09-29,57.299999,58.650002,57.200001,57.82,57.82,16771000
2015-09-30,58.869999,60.080002,58.349998,58.970001,58.970001,16552000
2015-10-01,59.5,59.830002,58.23,58.869999,58.869999,8147700
2015-10-02,58.360001000000004,63.240002000000004,58.200001,63.200001,63.200001,22356300
2015-10-05,63.470001,64.775002,62.200001,63.93,63.93,13583500
2015-10-06,63.720001,64.730003,63.279999,63.919998,63.919998,9620900
2015-10-07,64.839996,66.660004,64.379997,66.279999,66.279999,15770100
2015-10-08,66.040001,68.410004,65.959999,67.699997,67.699997,18667500
2015-10-09,67.699997,69.449997,67.309998,68.709999,68.709999,14762900
2015-10-12,69.639999,70.470001,69.0,70.300003,70.300003,15549100
2015-10-13,69.489998,70.32,68.379997,69.68,69.68,13052800
2015-10-14,69.5,69.699997,67.425003,68.540001,68.540001,12286100
2015-10-15,69.339996,72.440002,69.260002,71.779999,71.779999,18203000
2015-10-16,72.5,73.639999,71.209999,71.989998,71.989998,15953500
2015-10-19,71.800003,73.0,71.522003,72.650002,72.650002,10886900
2015-10-20,72.989998,73.0,71.550003,71.790001,71.790001,10813700
2015-10-21,71.790001,71.790001,68.889999,69.480003,69.480003,16800200
2015-10-22,70.160004,71.629997,70.07,70.989998,70.989998,10811400
2015-10-23,73.980003,75.760002,72.839996,75.620003,75.620003,22510800
2015-10-26,75.440002,77.41999799999999,75.129997,76.349998,76.349998,24819700
2015-10-27,76.349998,82.790001,76.349998,79.440002,79.440002,50815800
2015-10-28,79.480003,82.54499799999999,79.199997,82.349998,82.349998,25027100
2015-10-29,81.970001,82.529999,80.82,82.220001,82.220001,16249900
2015-10-30,82.699997,84.440002,82.599998,83.83000200000001,83.83000200000001,20740500
2015-11-02,83.519997,84.83000200000001,82.75,84.349998,84.349998,13827400
2015-11-03,84.0,84.589996,83.129997,83.440002,83.440002,11641300
2015-11-04,84.449997,85.599998,84.029999,85.400002,85.400002,23654700
2015-11-05,85.220001,86.41999799999999,84.199997,85.379997,85.379997,20657200
2015-11-06,85.529999,86.349998,80.769997,83.610001,83.610001,38531000
2015-11-09,83.440002,83.470001,80.220001,81.379997,81.379997,19091500
2015-11-10,81.099998,82.43,79.620003,81.43,81.43,22004400
2015-11-11,82.279999,82.489998,78.120003,79.849998,79.849998,29636600
2015-11-12,78.989998,80.5,78.449997,78.760002,78.760002,18839800
2015-11-13,77.150002,78.0,75.639999,75.849998,75.849998,24235500
2015-11-16,75.83000200000001,78.75,75.769997,78.300003,78.300003,17045500
2015-11-17,78.900002,79.139999,77.470001,78.129997,78.129997,12471400
2015-11-18,78.25,78.309998,76.150002,77.690002,77.690002,16735400
2015-11-19,78.059998,79.150002,77.403,77.870003,77.870003,15692700
2015-11-20,78.440002,80.785004,78.400002,79.949997,79.949997,21025800
2015-11-23,80.449997,82.190002,79.970001,81.309998,81.309998,18766400
2015-11-24,80.849998,81.110001,79.269997,80.860001,80.860001,15283600
2015-11-25,80.910004,82.675003,80.82,81.709999,81.709999,16330900
2015-11-27,80.57,81.410004,79.275002,81.379997,81.379997,12599900
2015-11-30,81.5,84.470001,81.379997,84.08000200000001,84.08000200000001,97914100
2015-12-01,83.769997,84.389999,83.5,84.0,84.0,26235500
2015-12-02,84.269997,85.82,84.25,85.0,85.0,36611500
2015-12-03,85.050003,85.099998,82.099998,82.589996,82.589996,23029200
2015-12-04,82.58000200000001,85.0,82.41999799999999,84.849998,84.849998,15555000
2015-12-07,84.800003,85.129997,84.199997,84.760002,84.760002,11875500
2015-12-08,82.769997,84.66999799999999,82.610001,84.379997,84.379997,14667400
2015-12-09,84.370003,85.199997,82.970001,83.41999799999999,83.41999799999999,21919200
2015-12-10,83.339996,84.339996,82.849998,84.33000200000001,84.33000200000001,10417500
2015-12-11,82.849998,83.050003,79.42199699999999,79.739998,79.739998,20793600
2015-12-14,80.150002,80.760002,78.989998,80.57,80.57,12046500
2015-12-15,81.059998,83.389999,80.900002,82.489998,82.489998,13054800
2015-12-16,83.300003,85.050003,82.995003,84.629997,84.629997,16575600
2015-12-17,85.0,85.32,82.849998,83.559998,83.559998,13003000
2015-12-18,83.199997,83.75,82.029999,82.650002,82.650002,12168700
2015-12-21,83.150002,83.730003,82.43,82.870003,82.870003,8094600
2015-12-22,82.889999,85.099998,82.889999,84.839996,84.839996,12723900
2015-12-23,85.050003,85.089996,83.720001,84.800003,84.800003,11238500
2015-12-24,84.559998,84.800003,83.410004,83.709999,83.709999,3775300
2015-12-28,82.559998,82.75,81.519997,82.139999,82.139999,9273500
2015-12-29,82.5,83.510002,82.410004,83.260002,83.260002,6942700
2015-12-30,82.949997,83.110001,81.5,81.68,81.68,6984300
2015-12-31,81.480003,82.16999799999999,81.25,81.269997,81.269997,6744500
2016-01-04,78.18,78.309998,75.18,76.690002,76.690002,23066300
2016-01-05,77.91999799999999,78.68,77.260002,78.629997,78.629997,14258900
2016-01-06,77.120003,78.485001,76.970001,77.33000200000001,77.33000200000001,11569300
2016-01-07,73.290001,75.5,71.540001,72.720001,72.720001,27288100
2016-01-08,74.33000200000001,74.660004,70.66999799999999,70.800003,70.800003,20814600
2016-01-11,71.290001,71.730003,69.019997,69.91999799999999,69.91999799999999,16923500
2016-01-12,71.449997,72.769997,71.0,72.68,72.68,13456000
2016-01-13,72.769997,73.238998,70.220001,70.290001,70.290001,12480200
2016-01-14,70.290001,72.720001,68.269997,72.25,72.25,17719600
2016-01-15,68.699997,71.0,67.541,69.589996,69.589996,20722500
2016-01-19,71.940002,72.309998,69.809998,70.129997,70.129997,17421700
2016-01-20,68.025002,69.112,65.339996,68.709999,68.709999,19464400
2016-01-21,68.779999,71.650002,67.143997,70.720001,70.720001,16576500
2016-01-22,72.510002,73.339996,69.889999,70.370003,70.370003,15834700
2016-01-25,70.800003,70.800003,69.019997,69.720001,69.720001,14782800
2016-01-26,69.010002,70.190002,68.879997,69.769997,69.769997,11438900
2016-01-27,69.959999,71.41999799999999,68.745003,69.540001,69.540001,18257600
2016-01-28,72.550003,73.150002,66.66999799999999,66.91999799999999,66.91999799999999,33165100
2016-01-29,67.980003,68.93,65.400002,67.029999,67.029999,25594700
2016-02-01,66.5,67.699997,65.349998,67.029999,67.029999,16213800
2016-02-02,67.050003,67.739998,64.660004,65.089996,65.089996,19150800
2016-02-03,65.599998,65.730003,60.869999,63.439999,63.439999,31918600
2016-02-04,64.33000200000001,65.720001,63.099998,64.860001,64.860001,22877600
2016-02-05,64.709999,64.860001,62.18,62.639998999999996,62.639998999999996,12842800
2016-02-08,60.900002,62.049999,60.450001,61.099998,61.099998,16157900
2016-02-09,60.110001000000004,62.220001,59.25,61.389998999999996,61.389998999999996,12604500
2016-02-10,61.900002,63.09,60.869999,61.779999,61.779999,8998600
2016-02-11,60.25,61.630001,59.849998,60.57,60.57,15008500
2016-02-12,61.27,62.779999,60.279999,60.889998999999996,60.889998999999996,13669600
2016-02-16,64.41999799999999,66.889999,64.040001,66.290001,66.290001,21735400
2016-02-17,67.300003,67.389999,65.68,66.379997,66.379997,14457100
2016-02-18,67.0,68.5,66.230003,66.519997,66.519997,14547800
2016-02-19,66.800003,67.75,66.089996,67.279999,67.279999,12334900
2016-02-22,68.300003,69.529999,67.980003,68.839996,68.839996,13405400
2016-02-23,68.5,68.660004,66.464996,66.970001,66.970001,12930600
2016-02-24,66.16999799999999,67.690002,65.209999,67.230003,67.230003,10781500
2016-02-25,65.66999799999999,66.720001,64.660004,66.660004,66.660004,14554800
2016-02-26,68.089996,68.83000200000001,66.860001,66.910004,66.910004,12084100
2016-02-29,67.639999,70.58000200000001,67.559998,68.809998,68.809998,17984200
2016-03-01,70.019997,71.839996,69.860001,70.860001,70.860001,14007700
2016-03-02,72.040001,72.040001,70.75,71.25,71.25,10503000
2016-03-03,71.309998,72.589996,70.459999,71.019997,71.019997,11581500
2016-03-04,70.959999,72.959999,70.720001,72.220001,72.220001,10763600
2016-03-07,72.199997,73.980003,72.0,72.889999,72.889999,11244500
2016-03-08,72.400002,72.650002,70.959999,71.07,71.07,8670700
2016-03-09,71.589996,72.610001,70.68,72.43,72.43,7283400
2016-03-10,72.5,73.050003,70.605003,71.970001,71.970001,11245700
2016-03-11,72.58000200000001,74.010002,72.220001,74.010002,74.010002,11219200
2016-03-14,74.010002,74.41999799999999,72.889999,73.349998,73.349998,11069800
2016-03-15,72.620003,72.839996,71.75,72.230003,72.230003,8373700
2016-03-16,72.010002,73.660004,71.860001,73.5,73.5,7701200
2016-03-17,73.760002,74.370003,73.510002,74.25,74.25,9423900
2016-03-18,74.970001,76.300003,74.709999,76.25,76.25,13350100
2016-03-21,77.089996,79.68,76.940002,78.110001,78.110001,15493300
2016-03-22,77.0,78.550003,76.907997,78.18,78.18,9148400
2016-03-23,78.160004,78.980003,76.150002,76.559998,76.559998,10806800
2016-03-24,75.150002,76.150002,73.529999,75.860001,75.860001,8833400
2016-03-28,76.449997,76.889999,74.900002,76.480003,76.480003,6082100
2016-03-29,75.599998,78.239998,75.57,78.08000200000001,78.08000200000001,12480700
