Date,AAPL,AMZN,FB,GOOG,MSFT
2017-11-03,172.5,1111.599976,178.919998,1032.47998,84.139999
2017-11-02,168.110001,1094.219971,178.919998,1025.579956,84.050003
2017-11-01,166.889999,1103.680054,182.66000400000001,1025.5,83.18
2017-10-31,169.03999299999998,1105.280029,180.059998,1016.6400150000001,83.18
2017-10-30,166.720001,1110.849976,179.869995,1017.1099849999999,83.889999
2017-10-27,163.050003,1100.949951,177.880005,1019.2700199999999,83.809998
2017-10-26,157.41000400000001,972.429993,170.630005,972.5599980000001,78.760002
2017-10-25,156.41000400000001,972.909973,170.600006,973.330017,78.629997
2017-10-24,157.100006,975.900024,171.800003,970.5399779999999,78.860001
2017-10-23,156.169998,966.2999880000001,171.270004,968.4500119999999,78.83000200000001
2017-10-20,156.25,982.909973,174.979996,988.2000119999999,78.809998
2017-10-19,155.979996,986.6099849999999,174.559998,984.4500119999999,77.910004
2017-10-18,159.759995,997.0,176.029999,992.8099980000001,77.610001
2017-10-17,160.470001,1009.1300050000001,176.110001,992.179993,77.589996
2017-10-16,159.880005,1006.340027,174.520004,992.0,77.650002
2017-10-13,156.990005,1002.9400019999999,173.740005,989.679993,77.489998
2017-10-12,156.0,1000.929993,172.550003,987.830017,77.120003
2017-10-11,156.550003,995.0,172.740005,989.25,76.41999799999999
2017-10-10,155.899994,987.2000119999999,171.58999599999999,972.599976,76.290001
2017-10-09,155.83999599999999,990.98999,172.5,977.0,76.290001
2017-10-06,155.300003,989.580017,172.229996,978.8900150000001,76.0
2017-10-05,155.389999,980.849976,171.240005,969.9600220000001,75.970001
2017-10-04,153.479996,965.4500119999999,168.419998,951.679993,74.690002
2017-10-03,154.479996,957.099976,169.96000700000002,957.7899779999999,74.260002
2017-10-02,153.809998,959.1900019999999,169.470001,953.2700199999999,74.610001
2017-09-29,154.119995,961.349976,170.869995,959.1099849999999,74.489998
2017-09-28,153.279999,956.400024,168.729996,949.5,73.870003
2017-09-27,154.229996,950.8699949999999,167.679993,944.48999,73.849998
2017-09-26,153.139999,938.599976,164.21000700000002,924.8599849999999,73.260002
2017-09-25,150.550003,939.7899779999999,162.869995,920.9699710000001,73.260002
2017-09-22,151.889999,955.099976,170.53999299999998,928.5300289999999,74.410004
2017-09-21,153.389999,964.650024,171.110001,932.4500119999999,74.209999
2017-09-20,156.070007,973.2100220000001,172.169998,931.580017,74.940002
2017-09-19,158.729996,969.8599849999999,172.520004,921.8099980000001,75.440002
2017-09-18,158.669998,974.1900019999999,170.009995,915.0,75.160004
2017-09-15,159.880005,986.7899779999999,171.639999,920.2899779999999,75.309998
2017-09-14,158.279999,992.2100220000001,170.96000700000002,925.1099849999999,74.769997
2017-09-13,159.649994,999.599976,173.050003,935.090027,75.209999
2017-09-12,160.860001,982.580017,172.96000700000002,932.070007,74.68
2017-09-11,161.5,977.9600220000001,173.509995,929.080017,74.760002
2017-09-08,158.630005,965.900024,170.949997,926.5,73.980003
2017-09-07,161.259995,979.4699710000001,173.21000700000002,935.9500119999999,74.339996
2017-09-06,161.91000400000001,967.7999880000001,172.08999599999999,927.8099980000001,73.400002
2017-09-05,162.080002,965.2700199999999,170.720001,928.4500119999999,73.610001
2017-09-01,164.050003,978.25,172.020004,937.340027,73.940002
2017-08-31,164.0,980.599976,171.970001,939.330017,74.769997
2017-08-30,163.350006,967.590027,169.919998,929.570007,74.010002
2017-08-29,162.91000400000001,954.0599980000001,168.050003,921.2899779999999,73.050003
2017-08-28,161.470001,946.0200199999999,167.240005,913.8099980000001,72.83000200000001
2017-08-25,159.860001,945.26001,166.320007,915.8900150000001,72.82
2017-08-24,159.270004,952.4500119999999,167.740005,921.2800289999999,72.690002
2017-08-23,159.979996,958.0,168.71000700000002,927.0,72.720001
2017-08-22,159.779999,966.900024,169.639999,924.6900019999999,73.160004
2017-08-21,157.21000700000002,953.2899779999999,167.779999,906.659973,72.150002
2017-08-18,157.5,958.4699710000001,167.41000400000001,910.669983,72.489998
2017-08-17,157.860001,960.570007,166.91000400000001,910.9799800000001,72.400002
2017-08-16,160.949997,978.179993,170.0,926.9600220000001,73.650002
2017-08-15,161.600006,982.73999,171.0,922.2199710000001,73.220001
2017-08-14,159.850006,983.2999880000001,170.75,922.669983,73.199997
2017-08-11,157.479996,967.98999,168.080002,914.3900150000001,72.115776
2017-08-10,155.320007,956.919983,167.399994,907.23999,71.03155500000001
2017-08-09,160.429993,982.01001,171.179993,922.900024,72.085938
2017-08-08,159.453827,989.840027,171.229996,926.7899779999999,72.40424300000001
2017-08-07,158.188797,992.2700199999999,171.979996,929.3599849999999,72.016312
2017-08-04,155.77825900000002,987.580017,169.619995,927.9600220000001,72.294823
2017-08-03,154.961472,986.919983,168.58999599999999,923.650024,71.76763199999999
2017-08-02,156.52533,995.8900150000001,169.300003,930.3900150000001,71.877052
2017-08-01,149.46305800000002,996.1900019999999,169.860001,930.830017,72.195358
2017-07-31,148.148224,987.7800289999999,169.25,930.5,72.314713
2017-07-28,148.915207,1020.0399779999999,172.449997,941.5300289999999,72.652916
2017-07-27,149.971069,1046.0,170.440002,934.090027,72.772285
2017-07-26,152.859726,1052.800049,165.610001,947.7999880000001,73.657562
2017-07-25,152.142548,1039.869995,165.279999,950.7000119999999,73.79682199999999
2017-07-24,151.495071,1038.949951,166.0,980.340027,73.209946
2017-07-21,149.682205,1025.670044,164.429993,972.919983,73.39894100000001
2017-07-20,149.751923,1028.699951,164.529999,968.150024,73.82666
2017-07-19,150.429276,1026.869995,164.139999,970.8900150000001,73.46856700000001
2017-07-18,149.49295,1024.449951,162.860001,965.400024,72.911537
2017-07-17,148.974976,1010.0399779999999,159.729996,953.419983,72.96127299999999
2017-07-14,148.457001,1001.8099980000001,159.970001,955.98999,72.394295
2017-07-13,147.191986,1000.6300050000001,159.259995,947.159973,71.389641
2017-07-12,145.16992199999999,1006.51001,158.899994,943.830017,70.77293399999999
2017-07-11,144.960739,994.1300050000001,155.270004,930.090027,69.61908000000001
2017-07-10,144.49258400000002,996.4699710000001,153.5,928.7999880000001,69.609138
2017-07-07,143.61601299999998,978.76001,151.440002,918.590027,69.091888
2017-07-06,142.17169199999998,965.1400150000001,148.820007,906.6900019999999,68.206604
2017-07-05,143.526367,971.400024,150.33999599999999,911.7100220000001,68.71390500000001
2017-07-03,142.93868999999998,953.659973,148.429993,898.7000119999999,67.808723
2017-06-30,143.45665,968.0,150.979996,908.7299800000001,68.564697
2017-06-29,143.117966,975.929993,151.03999299999998,917.7899779999999,68.12702900000001
2017-06-28,145.259567,990.330017,153.240005,940.48999,69.430092
2017-06-27,143.167786,976.7800289999999,150.580002,927.330017,68.84320799999999
2017-06-26,145.249619,993.9799800000001,153.58999599999999,952.2700199999999,70.156219
2017-06-23,145.707809,1003.73999,155.070007,965.590027,70.832611
2017-06-22,145.060364,1001.2999880000001,153.399994,957.090027,69.88765
2017-06-21,145.299408,1002.2299800000001,153.91000400000001,959.4500119999999,69.897591
2017-06-20,144.44276399999998,992.590027,152.25,950.6300050000001,69.539505
2017-06-19,145.76757800000001,995.169983,152.869995,957.3699949999999,70.494415
2017-06-16,141.713501,987.7100220000001,150.639999,939.7800289999999,69.629028
2017-06-15,143.72558600000002,964.169983,149.800003,942.3099980000001,69.529556
2017-06-14,144.592194,976.4699710000001,150.25,950.76001,69.897591
