,Height (feet),Speed,Length (feet),Number of Inversions,Drop (feet),Time,Vertical Angle (degrees),G Force,Sum,排名,Name
299,0.32065792003648,0.23488405120867956,0.08812171373051157,0.0,0.3092400235839283,0.0,0.13729379770463768,0.2995501040828459,1.389747610347083,1,Kingda Ka
298,0.2936263141098933,0.2160933271119852,0.07846869789644244,0.0,0.29500390996625386,0.0017808966902258718,0.13729379770463768,0.2995501040828459,1.3218170475622841,2,Top Thrill Dragster
292,0.21102974044532294,0.1526746332856417,0.19366742459547495,0.0,0.2159143898680625,0.09973021465264882,0.10678406488138487,0.2995501040828459,1.2793505718113818,3,Millennium Force
167,0.16792934655126532,0.14140019882762508,0.1378802783695245,0.023536079606509316,0.19139663863762316,0.19946042930529764,0.12203893129301127,0.26959509367456125,1.2532369962654175,4,Hyperion
294,0.22229290958140074,0.1573723143098153,0.1938799123654073,0.0,0.23173229388770078,0.16028070212032847,0.10983503816371014,0.14977505204142294,1.2251682224697855,5,Fury 325
295,0.2540550465451401,0.19683283491287346,0.0811156884018853,0.0,0.19139663863762316,0.0017808966902258718,0.13729379770463768,0.2995501040828459,1.1620250069752314,6,Red Force
291,0.2080262286757022,0.1503257927735549,0.16000329075905148,0.0,0.22065976107395396,0.16028070212032847,0.10678406488138487,0.14977505204142294,1.1558548923253988,7,Leviathan
112,0.0841313681788466,0.08009546146215973,0.0930635721512237,0.16475255724556523,0.06485340648051693,0.07479766098948662,0.23187396945672142,0.2995501040828459,1.093118100047366,8,Takabisha
297,0.2898719243978674,0.16911651687024928,0.0309625036187123,0.0,0.2381385450156543,0.0,0.13729379770463768,0.22466257806213438,1.0900458656692553,9,Superman: Escape from Krypton
159,0.1334640489948673,0.10945596786324466,0.14286159880465266,0.023536079606509316,0.12891591776005196,0.0890448345112936,0.13729379770463768,0.2995501040828459,1.0641223493281031,10,Flying Aces
296,0.2615638259691919,0.16911651687024928,0.0309625036187123,0.0,0.2381385450156543,0.0,0.13729379770463768,0.22466257806213438,1.0617377672405799,11,Tower of Terror II
254,0.1063573552740401,0.2844445860137109,0.19265658991851112,0.0,0.15659724979441897,0.12021052659024634,0.04576459923487923,0.14977505204142294,1.0558059588672295,12,Formula Rossa
153,0.12603035736505597,0.13153506867686054,0.12072340871727333,0.1412164776390559,0.12891591776005196,0.11753918155490754,0.13729379770463768,0.14977505204142294,1.0530292614592658,13,Soaring Dragon & Dancing Phoenix
280,0.15095950505290814,0.12213970662851335,0.15721059435422646,0.0,0.1486882977845998,0.09973021465264882,0.07017238549348148,0.2995501040828459,1.0484508080492239,14,Nitro
165,0.1580928455057574,0.1195559820652179,0.11646758223948564,0.023536079606509316,0.152484594749313,0.19946042930529764,0.12203893129301127,0.14977505204142294,1.041411496806015,15,Schwur des Kärnan
260,0.12603035736505597,0.12918622816477376,0.08180779142395063,0.0,0.15359184803068765,0.07479766098948662,0.13729379770463768,0.32950511449113046,1.0322127981697227,16,2910
166,0.16545144934132822,0.1181466777579658,0.10830198079494288,0.07060823881952795,0.18032410582387637,0.09082573120151946,0.1311918511399871,0.14977505204142294,1.0146250869205709,17,Eejanaika
289,0.17536303818107665,0.1240187790381828,0.09971747488967636,0.0,0.15121916242774192,0.05520779739700203,0.10678406488138487,0.2995501040828459,1.0118604208979105,18,Thunder Dolphin
145,0.11371595910961092,0.09489315668830656,0.09107225819300062,0.04707215921301863,0.1534336689904913,0.07479766098948662,0.13729379770463768,0.2995501040828459,1.0118287649713982,19,iSpeed
160,0.13444019031999405,0.09865130150764541,0.07649559717564215,0.09414431842603727,0.12891591776005196,0.10863469810377817,0.21661910304509502,0.14977505204142294,1.007676178379667,20,Cannibal
287,0.16545144934132822,0.1298908803183998,0.14923623190262283,0.0,0.1810359115047601,0.13534814845716625,0.12203893129301127,0.11982004163313832,1.0028215944504268,21,Shambhala
284,0.1580928455057574,0.1195559820652179,0.15481251809356147,0.0,0.152484594749313,0.18877504916394242,0.07169787213464413,0.14977505204142294,0.9951939137538592,22,Silver Star
286,0.1622226741889859,0.13388390918894733,0.15472145190644762,0.0,0.18032410582387637,0.16206159881055435,0.04881557251720451,0.14977505204142294,0.991804364477439,23,Titan
273,0.13444019031999405,0.1056978230439058,0.15739272672845417,0.0,0.14077934577478068,0.08370214444061598,0.07017238549348148,0.2995501040828459,0.991734719884078,24,Ride of Steel
262,0.12618053295353698,0.1056978230439058,0.15587495694322318,0.0,0.14077934577478068,0.09082573120151946,0.07017238549348148,0.2995501040828459,0.9890808794932935,25,Superman - Ride Of Steel
164,0.14825634446024946,0.1181466777579658,0.09804489258635181,0.07060823881952795,0.1534336689904913,0.10863469810377817,0.13729379770463768,0.14977505204142294,0.984193370464425,26,Dinoconda
137,0.1014766486484064,0.08009546146215973,0.10302317748190949,0.16475255724556523,0.1486882977845998,0.10507290472332644,0.1311918511399871,0.14977505204142294,0.9840759505273771,27,Superman / la Atracción de Acero
163,0.14570335945607182,0.11039550406807938,0.09713726625478368,0.07060823881952795,0.1478974025836179,0.12199142328047223,0.13729379770463768,0.14977505204142294,0.9808020442086135,28,Valravn
279,0.15095950505290814,0.11509318509225298,0.15490358428067535,0.0,0.1486882977845998,0.16473294384589313,0.09152919846975846,0.14977505204142294,0.9756817665675108,29,Behemoth
290,0.20727535073329703,0.14562811174938134,0.1482861080170682,0.0,0.2159143898680625,0.13534814845716625,0.12203893129301127,0.0,0.9744910401179866,30,Intimidator 305
125,0.09088926966049327,0.08690709894721142,0.11298278281259526,0.16475255724556523,0.0972801097207754,0.1487048736338603,0.04576459923487923,0.22466257806213438,0.9719438693175145,31,Medusa
142,0.10590682850859699,0.09160477997138503,0.11987345763754399,0.1412164776390559,0.10835264253452219,0.11753918155490754,0.13729379770463768,0.14977505204142294,0.9715622175920722,32,GateKeeper
57,0.059352396079475477,0.05825124469975253,0.08059357559576584,0.2353607960650932,0.12891591776005196,0.12199142328047223,0.13729379770463768,0.14977505204142294,0.9715342032266717,33,Velikolukskiy Myasokombinat-2
127,0.09088926966049327,0.08690709894721142,0.1069420590673759,0.1412164776390559,0.12891591776005196,0.12199142328047223,0.13729379770463768,0.14977505204142294,0.9639310961007213,34,Dragon's Run
253,0.1063573552740401,0.12918622816477376,0.0781287174645507,0.0,0.13429400512672898,0.07479766098948662,0.13729379770463768,0.2995501040828459,0.9596078688070637,35,Extreme Rusher
288,0.17288514097113955,0.1240187790381828,0.19711883308709024,0.0,0.16031445723903393,0.16740428888123196,0.061019465646505636,0.07488752602071147,0.9576484908838956,36,Fujiyama
139,0.10365419468138143,0.09395362048347182,0.11865924180935919,0.16475255724556523,0.0972801097207754,0.11753918155490754,0.10373309159905958,0.14977505204142294,0.949347049135943,37,Banshee
281,0.15095950505290814,0.12213970662851335,0.15381079003530904,0.0,0.1486882977845998,0.13534814845716625,0.08847822518743317,0.14977505204142294,0.9491997251873527,38,Diamondback
13,0.03247096574136984,0.05825124469975253,0.10999581187526067,0.32950511449113046,0.05646991735010866,0.12199142328047223,0.015254866411626409,0.22466257806213438,0.9486019219118551,39,Smiler
285,0.1605707427156945,0.13270948893290394,0.14843788499559132,0.0,0.1810359115047601,0.19946042930529764,0.12203893129301127,0.0,0.9442533887472586,40,Coaster Through the Clouds
157,0.1321875564927785,0.1010001420197322,0.08781815977346537,0.04707215921301863,0.1534336689904913,0.13534814845716625,0.13729379770463768,0.14977505204142294,0.9439286846927128,41,Griffon
269,0.1321875564927785,0.103348982531819,0.14846824039129594,0.0,0.13263312520466694,0.0819212477503901,0.04576459923487923,0.2995501040828459,0.9438738556886755,42,Magnum XL-200
155,0.12858334236923358,0.10217456227577561,0.09055014538688116,0.04707215921301863,0.12915318632034653,0.12199142328047223,0.13729379770463768,0.17973006244970754,0.936548679000073,43,Hyper Coaster
154,0.12858334236923358,0.10217456227577561,0.12025290008385174,0.04707215921301863,0.12915318632034653,0.0890448345112936,0.13729379770463768,0.17973006244970754,0.933304844927865,44,Flash
283,0.15471389476493405,0.13388390918894733,0.13007287059429626,0.0,0.18032410582387637,0.13534814845716625,0.04881557251720451,0.14977505204142294,0.9329335533878477,45,Goliath
106,0.0792506615532129,0.08009546146215973,0.13100781678199858,0.16475255724556523,0.07988041529917331,0.09082573120151946,0.10678406488138487,0.19470756765384978,0.927304276078864,46,Helix
152,0.12603035736505597,0.11673737345071374,0.09784454697470132,0.023536079606509316,0.12891591776005196,0.12199142328047223,0.13729379770463768,0.14977505204142294,0.9021245481835651,47,Soaring with Dragon
275,0.13519106826239924,0.12213970662851335,0.1708401670256008,0.0,0.15659724979441897,0.12021052659024634,0.04576459923487923,0.14977505204142294,0.9005183695774809,48,Desperado
32,0.05214396783238571,0.03993028870547552,0.0781287174645507,0.2353607960650932,0.06168982567658928,0.0569886940872279,0.07627433205813205,0.2995501040828459,0.9000667259723002,49,10 Inversion Roller Coaster
143,0.10966121822062291,0.11274434458016618,0.10305656841718455,0.04707215921301863,0.1486882977845998,0.09616842127219707,0.13271733778114975,0.14977505204142294,0.8998833993103619,50,X2
158,0.1321875564927785,0.1080466635559926,0.16771356126802495,0.09414431842603727,0.1368248697698711,0.10863469810377817,0.13729379770463768,0.0,0.8848454653211202,51,Steel Vengeance
161,0.1419489697440459,0.09865130150764541,0.03293560433951259,0.023536079606509316,0.2380594554955561,0.0569886940872279,0.13729379770463768,0.14977505204142294,0.8791889545265578,52,Mr. Freeze Reverse Blast
162,0.1419489697440459,0.09865130150764541,0.03293560433951259,0.023536079606509316,0.2380594554955561,0.0569886940872279,0.13729379770463768,0.14977505204142294,0.8791889545265578,53,Mr. Freeze Reverse Blast
101,0.07189205771764208,0.08009546146215973,0.09863985834216236,0.09414431842603727,0.07355325369131799,0.10863469810377817,0.23187396945672142,0.11982004163313832,0.8786536588329573,54,blue fire Megacoaster
151,0.12467877706872663,0.09160477997138503,0.1096740446807917,0.1412164776390559,0.11309801374041369,0.14425263190829563,0.04576459923487923,0.10484253642899607,0.8751318606725439,55,Alpengeist
133,0.0953945373149244,0.08690709894721142,0.1261266691526957,0.1412164776390559,0.09411652891684776,0.13534814845716625,0.015254866411626409,0.17973006244970754,0.8740943892892353,56,Riddler's Revenge
117,0.08863663583327772,0.061304737365465364,0.06019474968226126,0.1412164776390559,0.12891591776005196,0.10329200803310057,0.13729379770463768,0.14977505204142294,0.8706293760592734,57,Happy Angel
59,0.059577659462197036,0.05825124469975253,0.08089105847367112,0.2353607960650932,0.05615355926971588,0.12199142328047223,0.1006821183167343,0.14977505204142294,0.8626829116090593,58,Altair
58,0.059577659462197036,0.05825124469975253,0.08061785991232953,0.2353607960650932,0.05615355926971588,0.12199142328047223,0.1006821183167343,0.14977505204142294,0.8624097130477176,59,Crazy Coaster
83,0.06573485858991955,0.044627969729649115,0.021855884907326328,0.07060823881952795,0.12100696575023283,0.07123586760903487,0.13729379770463768,0.32950511449113046,0.8618686976014589,60,Boomerang
87,0.06573485858991955,0.044627969729649115,0.021855884907326328,0.07060823881952795,0.12100696575023283,0.07123586760903487,0.13729379770463768,0.32950511449113046,0.8618686976014589,61,Boomerang
86,0.06573485858991955,0.044627969729649115,0.021855884907326328,0.07060823881952795,0.12100696575023283,0.07123586760903487,0.13729379770463768,0.32950511449113046,0.8618686976014589,62,Flashback
120,0.0893875137756829,0.08690709894721142,0.11990381303324861,0.18828863685207453,0.10597995693157647,0.06856452257369607,0.04576459923487923,0.14977505204142294,0.854571193389792,63,Dragon Khan
150,0.12212579206454899,0.0883164032544635,0.03002148635186908,0.07060823881952795,0.11863428014728708,0.0569886940872279,0.13729379770463768,0.22466257806213438,0.8486512704916965,64,Goliath
149,0.1216752652991059,0.0883164032544635,0.03002148635186908,0.07060823881952795,0.11863428014728708,0.0569886940872279,0.13729379770463768,0.22466257806213438,0.8482007437262534,65,Stunt Fall
250,0.09839804908454514,0.13388390918894733,0.0906108561782904,0.0,0.15896993539736468,0.07924990271505129,0.13729379770463768,0.14977505204142294,0.8481815023102595,66,Phantom's Revenge
129,0.09088926966049327,0.08220941792303785,0.11443984180641702,0.16475255724556523,0.09016205291193818,0.13534814845716625,0.015254866411626409,0.14977505204142294,0.8428312064576671,67,Scream!
277,0.13969633591683034,0.103348982531819,0.0,0.0,0.1415702409757626,0.019589863592484588,0.13729379770463768,0.2995501040828459,0.8410493248043801,68,Wicked Twister
136,0.1014766486484064,0.0859675627423767,0.11298278281259526,0.1412164776390559,0.095461050758517,0.10151111134287469,0.04576459923487923,0.14977505204142294,0.834155285220128,69,Katun
124,0.09013839171808809,0.08690709894721142,0.12026807778170405,0.16475255724556523,0.09253473851488392,0.08370214444061598,0.04576459923487923,0.14977505204142294,0.8338426599243708,70,Kraken
45,0.05709976225225993,0.05096983911228346,0.07543922940512136,0.1176803980325466,0.04191744565204143,0.04185107222030799,0.15865061068091466,0.2845725988787036,0.8281809562341791,71,Batman: Arkham Asylum
93,0.0667109999150463,0.06341869382634348,0.07239761875551846,0.1176803980325466,0.12100696575023283,0.09973021465264882,0.13729379770463768,0.14977505204142294,0.8280137406783972,72,Batman - The Dark Knight
103,0.07684785213751631,0.0516744912659095,0.024247890088850373,0.07060823881952795,0.12100696575023283,0.05520779739700203,0.12814087785766184,0.2995501040828459,0.8272842173995467,73,Invertigo
92,0.0667109999150463,0.0631838097751348,0.060340455581643436,0.09414431842603727,0.0670679130432663,0.0569886940872279,0.15865061068091466,0.254617588470419,0.8217043899796896,74,Snow Mountain Flying Dragon
252,0.10590682850859699,0.1056978230439058,0.1416686317534611,0.0,0.14473382177969024,0.09527797292708415,0.061019465646505636,0.16475255724556515,0.819057100904809,75,Apollo's Chariot
276,0.13819458003201998,0.1080466635559926,0.1603372001118023,0.0,0.14077934577478068,0.13534814845716625,0.061019465646505636,0.07488752602071147,0.8186129295989789,76,Big One
268,0.1321875564927785,0.11039550406807938,0.16346380586937817,0.0,0.14077934577478068,0.13534814845716625,0.061019465646505636,0.07488752602071147,0.8180813523294,77,Mamba
282,0.1524612609377185,0.11039550406807938,0.15484287348926612,0.0,0.14552471698067215,0.16473294384589313,0.08847822518743317,0.0,0.8164355245090624,78,Intimidator
131,0.09209067436834156,0.08761175110083746,0.008414515689320634,0.04707215921301863,0.12100696575023283,0.019589863592484588,0.13729379770463768,0.2995501040828459,0.8126298315017193,79,Sky Wheel
113,0.08488224612125178,0.07751173689886424,0.11443984180641702,0.16475255724556523,0.0972801097207754,0.09973021465264882,0.021356812976276972,0.14977505204142294,0.8097285714632225,80,Bizarro
123,0.09013839171808809,0.07516289638677745,0.08699856408944064,0.09414431842603727,0.07592593929426374,0.09794931796242294,0.13729379770463768,0.14977505204142294,0.8073882776230907,81,Patriot
255,0.10883525248397723,0.10945596786324466,0.11497409677081834,0.0,0.09016205291193818,0.04185107222030799,0.11288601144603544,0.22466257806213438,0.8028270317584562,82,Expedition GeForce
259,0.11716999764467477,0.09865130150764541,0.012597489217417258,0.0,0.11705248974532326,0.019589863592484588,0.13729379770463768,0.2995501040828459,0.8019050434950289,83,Vertical Velocity
258,0.11716999764467477,0.09395362048347182,0.012597489217417258,0.0,0.11705248974532326,0.019589863592484588,0.13729379770463768,0.2995501040828459,0.7972073624708553,84,Steel Venom
114,0.08563312406365699,0.07516289638677745,0.11422735403648468,0.16475255724556523,0.08541668170604669,0.13000545838648864,0.021356812976276972,0.11982004163313832,0.796374926434435,85,Kumba
126,0.09088926966049327,0.07516289638677745,0.11437913101500778,0.16475255724556523,0.07988041529917331,0.13534814845716625,0.015254866411626409,0.11982004163313832,0.795487326108948,86,Montu
147,0.11792087558707995,0.0516744912659095,0.16042826629891616,0.09414431842603727,0.14077934577478068,0.16206159881055435,0.061019465646505636,0.0,0.7880283618097836,87,Dragon Mountain
102,0.073619076985174,0.06811637485051707,0.07066736120035512,0.1176803980325466,0.021354170426511672,0.050755555671437344,0.15865061068091466,0.22466257806213438,0.7855061259095909,88,Swarm
74,0.06160502990669104,0.05872101280216989,0.09801757273021766,0.07060823881952795,0.06089893047560737,0.10863469810377817,0.07017238549348148,0.254617588470419,0.7832754568018925,89,Quimera
73,0.060854151964285855,0.09160477997138503,0.10578855403060035,0.16475255724556523,0.06161073615649109,0.09527797292708415,0.04576459923487923,0.14977505204142294,0.7754284035717138,90,Incredible Hulk
130,0.09088926966049327,0.11039550406807938,0.07239761875551846,0.07060823881952795,0.12100696575023283,0.019589863592484588,0.13729379770463768,0.14977505204142294,0.7719563103923971,91,Storm Runner
247,0.09088926966049327,0.08690709894721142,0.012597489217417258,0.0,0.12100696575023283,0.019589863592484588,0.13729379770463768,0.2995501040828459,0.767834588955323,92,V2: Vertical Velocity
134,0.09839804908454514,0.09865130150764541,0.0602554604736705,0.04707215921301863,0.12100696575023283,0.05520779739700203,0.13729379770463768,0.14977505204142294,0.7676605831721752,93,Full Throttle
148,0.11942263147189035,0.09865130150764541,0.10973475547220095,0.16475255724556523,0.1138889089413956,0.10863469810377817,0.04576459923487923,0.0,0.7608494519773549,94,Viper
100,0.07136644315795845,0.08009546146215973,0.09862468064431006,0.09414431842603727,0.07988041529917331,0.10863469810377817,0.10678406488138487,0.11982004163313832,0.7593501236079401,95,Velikolukskiy Myasokombinat 
27,0.04959098282820807,0.05872101280216989,0.09055014538688116,0.16475255724556523,0.06168982567658928,0.11308693982934286,0.07017238549348148,0.14977505204142294,0.7583389013036609,96,Hydra the Revenge
135,0.0989987514384693,0.19683283491287346,0.11736306641277192,0.023536079606509316,0.09490742411782967,0.11308693982934286,0.11288601144603544,0.0,0.7576111077638319,97,Do-Dodonpa
98,0.06911380933074289,0.07046521536260386,0.07543315832598045,0.1412164776390559,0.04191744565204143,0.050755555671437344,0.15865061068091466,0.14977505204142294,0.7573273247041995,98,Fahrenheit
278,0.14330055004037523,0.10945596786324466,0.16277777392645373,0.0,0.14077934577478068,0.13890994183761798,0.061019465646505636,0.0,0.7562430450889779,99,Superman el Último Escape
91,0.06573485858991955,0.044627969729649115,0.021855884907326328,0.07060823881952795,0.12100696575023283,0.07123586760903487,0.027458759540927535,0.32950511449113046,0.7520336594377486,100,Boomerang
